epoch,batch,train_loss,val_loss,val_mae,val_rel_err,time_sec
1,1,10144633856.000000,,,,
1,ALL,19097339136.0,4598660096.0,54908.42578125,0.46685066223144533,29.23
2,1,4965028864.000000,,,,
2,ALL,9885568128.0,4592485376.0,57464.01953125,0.5078164100646972,29.26
3,1,12879525888.000000,,,,
3,ALL,9515437824.0,4622322688.0,58867.38671875,0.5290453910827637,29.13
4,1,13689549824.000000,,,,
4,ALL,8573094272.0,4816000000.0,62401.1328125,0.5816827774047851,29.12
5,1,4365032448.000000,,,,
5,ALL,9306829184.0,4685505536.0,60314.69921875,0.5502108097076416,28.79
6,1,10970337280.000000,,,,
6,ALL,8286870464.0,4582639104.0,57447.9609375,0.507866382598877,29.13
7,1,9368669184.000000,,,,
7,ALL,7780953376.0,4606221312.0,54787.32421875,0.4638650417327881,29.16
8,1,17087085568.000000,,,,
8,ALL,14254101632.0,4590913024.0,55103.01953125,0.4715092658996582,28.79
9,1,17183711232.000000,,,,
9,ALL,7825524448.0,4582660608.0,55817.29296875,0.48307576179504397,29.02
10,1,14818991104.000000,,,,
10,ALL,8372804416.0,4586715648.0,55294.21875,0.4750852108001709,28.89
