epoch,batch,train_loss,val_loss,val_mae,val_rel_err,time_sec
1,1,211463016808448.000000,,,,
1,ALL,118257434492928.0,14583995564032.0,3818138.75,32.10499267578125,310.74
2,1,14643264225280.000000,,,,
2,ALL,5854115045376.0,14876953018368.0,3856478.75,32.86619567871094,147.45
3,1,15047365492736.000000,,,,
3,ALL,25180138635264.0,30516946403328.0,5523491.0,47.007293701171875,147.70
4,1,30391746428928.000000,,,,
4,ALL,23355979464704.0,8938515857408.0,2989310.75,25.472352600097658,150.55
5,1,8816479436800.000000,,,,
5,ALL,3662775861248.0,303698804736.0,548690.5625,4.485821533203125,147.01
6,1,353751728128.000000,,,,
6,ALL,2632761655296.0,6552100012032.0,2559288.5,21.561154174804688,152.74
7,1,6556780331008.000000,,,,
7,ALL,6539161501696.0,4487982874624.0,2117241.75,17.71148223876953,149.83
8,1,4674845933568.000000,,,,
8,ALL,2574266957824.0,174353252352.0,411176.59375,3.2347381591796873,150.35
9,1,179285540864.000000,,,,
9,ALL,268423207424.0,1136621518848.0,1063476.375,9.284400177001952,149.85
10,1,1078321283072.000000,,,,
10,ALL,1619904479232.0,1548038701056.0,1241975.75,10.78844757080078,152.40
