epoch,batch,train_loss,val_loss,val_mae,val_rel_err,time_sec
1,1,13993512960.000000,,,,
1,10,8497851392.000000,,,,
1,20,11164779520.000000,,,,
1,30,9821479936.000000,,,,
1,ALL,8611774528.0,13519934586.88,77664.86125,0.6331470346450806,225.94
2,1,6911385088.000000,,,,
2,10,2814586880.000000,,,,
2,20,14039283712.000000,,,,
2,30,6947144192.000000,,,,
2,ALL,8522423856.0,13362817925.12,73372.5225,0.5553646636009216,210.58
3,1,7829417984.000000,,,,
3,10,10125028352.000000,,,,
3,20,12499544064.000000,,,,
3,30,4123917312.000000,,,,
3,ALL,7870168024.0,13010974556.16,68756.80125,0.4724505591392517,202.40
4,1,1925661952.000000,,,,
4,10,9479481344.000000,,,,
4,20,14137673728.000000,,,,
4,30,2247378944.000000,,,,
4,ALL,5924331280.0,6019523010.56,46569.2896875,0.28809547901153565,201.94
5,1,2148961792.000000,,,,
5,10,2873483776.000000,,,,
5,20,3042860288.000000,,,,
5,30,2204890624.000000,,,,
5,ALL,3208897290.0,4076917555.2,42498.5359375,0.30974393010139467,200.74
6,1,918020992.000000,,,,
6,10,2497399296.000000,,,,
6,20,2064941312.000000,,,,
6,30,3456079872.000000,,,,
6,ALL,2651108864.0,3651229736.96,43946.5034375,0.36452306032180787,202.54
7,1,2993677824.000000,,,,
7,10,977918144.000000,,,,
7,20,4691962880.000000,,,,
7,30,1873491968.000000,,,,
7,ALL,2207602400.0,3794057543.68,42059.2271875,0.26642896175384523,201.29
8,1,3615384064.000000,,,,
8,10,1549305728.000000,,,,
8,20,1261271040.000000,,,,
8,30,2715583488.000000,,,,
8,ALL,1896833768.0,2824497315.84,36510.4821875,0.26944799661636354,200.63
9,1,1884726656.000000,,,,
9,10,762694720.000000,,,,
9,20,1805734272.000000,,,,
9,30,1233016576.000000,,,,
9,ALL,1911809416.0,3178918420.48,41364.47125,0.36067883014678953,122.60
10,1,1923212032.000000,,,,
10,10,1102573440.000000,,,,
10,20,2058196224.000000,,,,
10,30,2577386496.000000,,,,
10,ALL,1655406152.0,2689910251.52,36114.6446875,0.259319920539856,72.41
