epoch,batch,train_loss,val_loss,val_mae,val_rel_err,time_sec
1,1,1020777763700736.000000,,,,
1,10,169396832043008.000000,,,,
1,20,1281125777408.000000,,,,
1,30,16363818057728.000000,,,,
1,ALL,180773972979200.0,13651271441448.96,3692509.9,31.942164611816406,1877.72
2,1,13584191979520.000000,,,,
2,10,1307614773248.000000,,,,
2,20,848916447232.000000,,,,
2,30,532468367360.000000,,,,
2,ALL,2576909014208.0,184923990261.76,416339.345,4.022944297790527,34.15
3,1,198513868800.000000,,,,
3,10,98482569216.000000,,,,
3,20,71855128576.000000,,,,
3,30,13635264512.000000,,,,
3,ALL,58997361032.0,22699606016.0,133068.2825,1.3132791376113893,32.91
4,1,18005340160.000000,,,,
4,10,7480743936.000000,,,,
4,20,20244160512.000000,,,,
4,30,10743573504.000000,,,,
4,ALL,12450845608.0,13473032929.28,73891.26,0.5387573575973511,33.50
5,1,12329678848.000000,,,,
5,10,5460478464.000000,,,,
5,20,10185234432.000000,,,,
5,30,8725736448.000000,,,,
5,ALL,9358610768.0,13214060380.16,74002.82,0.5575770998001098,34.54
6,1,13669584896.000000,,,,
6,10,12888646656.000000,,,,
6,20,6609186304.000000,,,,
6,30,11354496000.000000,,,,
6,ALL,9558816784.0,12996096163.84,74954.32875,0.5886032462120057,34.82
7,1,6211855872.000000,,,,
7,10,10746268672.000000,,,,
7,20,5162955264.000000,,,,
7,30,2795610624.000000,,,,
7,ALL,8973325784.0,12885500887.04,74242.005,0.5783045101165771,32.81
8,1,5156577280.000000,,,,
8,10,27990605824.000000,,,,
8,20,18104567808.000000,,,,
8,30,7236988928.000000,,,,
8,ALL,8854699808.0,12969363374.08,72388.468125,0.535904746055603,32.61
9,1,5155491328.000000,,,,
9,10,4986972160.000000,,,,
9,20,6800237056.000000,,,,
9,30,7808245248.000000,,,,
9,ALL,8665263768.0,12723938918.4,73035.3075,0.5603251075744629,34.27
10,1,13416133632.000000,,,,
10,10,6233314304.000000,,,,
10,20,8224205824.000000,,,,
10,30,11084261376.000000,,,,
10,ALL,8801286072.0,12564584529.92,75927.924375,0.6219057464599609,32.70
